,player_name,shot_outcome_name,gk_name,player_team,gk_team,season,date,,,
171,Mark Noble,Goal,Jonas Lössl,West Ham,Huddersfield,18/19,16-03-2019,,,
172,Saido Berahino,Saved,Fraser Forster,Stoke,Southampton,17/18,30-09-2017,,,
173,Luka Milivojević,Goal,Joe Hart,Crystal Palace,West Ham,17/18,28-10-2017,,,
174,Alexis Alejandro Sánchez Sánchez,Goal,Nick Pope,Arsenal,Burnley,17/18,26-11-2017,,,
175,Callum Wilson,Goal,Sergio Rico González,Bournemouth,Fulham,18/19,27-10-2018,,,
176,Anthony Martial,Goal,Ederson Santana de Moraes,Man Utd,Man City,18/19,11-11-2018,,,
177,Leighton Baines,Goal,Julián Speroni,Everton,Crystal Palace,17/18,18-11-2017,,,
178,Sergio Leonel Agüero del Castillo,Goal,Jonas Lössl,Man City,Huddesfield,17/18,26-11-2017,,,
179,Gylfi Þór Sigurðsson,Goal,Joe Hart,Everton,Burnley,18/19,26-12-2018,,,
180,Rúben Diogo Da Silva Neves,Goal,Jordan Pickford,Wolves,Everton,18/19,02-02-2019,,,
181,James Maddison,Saved,Neil Leonard Dula Etheridge,Leicester,Cardiff,18/19,29-12-2018,,,
182,Luka Milivojević,Goal,Jordan Pickford,Crystal Palace,Everton,17/18,10-02-2018,,,
