indx,pen_taker,outcome,goalkeepers,off_target,Foot,Direction,Dominant_side,Height
194,James Ward-Prowse,Goal,Aaron Ramsdale,,right,top right corner,right,191
195,Sergio Agüero,Goal,Ben Foster,,right,centre of the goal,left,193
196,Nicolas Pépé,Goal,Tom Heaton,,left,centre of the goal,right,188
197,Luka Milivojević,Goal,Ralf Fährmann,,right,top right corner,right,197
198,Jorginho,Goal,Mathew Ryan,,right,bottom left corner,right,184
199,Wesley Moraes,Saved,Michael McGovern,,right,bottom left corner,right,190
200,James Milner,Goal,Kasper Schmeichel,,right,bottom right corner,right,189
201,Patrick van Aanholt,Goal,Roberto,,left,bottom left corner,right,192
202,Raúl Jiménez,Goal,Angus Gunn,,right,bottom left corner,right,196
203,Jamie Vardy,Goal,Angus Gunn,,right,top right corner,right,196
204,Neal Maupay,Goal,Jordan Pickford,,right,top centre of the goal,left,185
205,Luka Milivojević,Goal,Bernd Leno,,right,bottom right corner,right,190
206,Anthony Martial,Saved,Tim Krul,,right,bottom right corner,left,193
207,Marcus Rashford,Saved,Tim Krul,,right,bottom left corner,left,193
208,Mohamed Salah,Goal,Paulo Gazzaniga,,left,bottom right corner,right,195
209,Gerard Deulofeu,Goal,Kepa Arrizabalaga,,right,bottom left corner,right,186
210,James Ward-Prowse,Saved,Bernd Leno,,right,bottom right corner,right,190
211,Ashley Barnes,Goal,Ben Foster,,right,centre of the goal,left,193
212,Jamie Vardy,Goal,Mathew Ryan,,right,bottom left corner,right,184
213,Pierre-Emerick Aubameyang,Goal,Tim Krul,,right,bottom left corner,left,193
214,Marcus Rashford,Goal,Paulo Gazzaniga,,right,bottom right corner,right,195
215,Jamie Vardy,Goal,Ben Foster,,right,bottom right corner,left,193
216,Marcus Rashford,Goal,Ederson,,right,bottom right corner,left,188
217,Jack Grealish,Off T,Dean Henderson,1.0,right,the bar,right,188
218,İlkay Gündoğan,Goal,Kasper Schmeichel,,right,bottom right corner,right,189
219,Troy Deeney,Goal,David de Gea,,right,centre of the goal,right,192
220,Willian,Goal,Paulo Gazzaniga,,right,bottom right corner,right,195
221,Oliver Norwood,Goal,Ben Foster,,right,bottom left corner,left,193
222,James Milner,Goal,Kasper Schmeichel,,right,centre of the goal,right,189
223,Raheem Sterling,Saved,Rui Patrício,,right,bottom left corner,left,190
224,Troy Deeney,Goal,Tom Heaton,,right,centre of the goal,right,188
225,Harry Kane,Goal,Tim Krul,,right,top right corner,left,193
226,Demarai Gray,Saved,Łukasz Fabiański,,right,bottom right corner,right,190
227,Mark Noble,Goal,Aaron Ramsdale,,right,bottom right corner,right,191
228,Jorginho,Goal,Nick Pope,,right,bottom right corner,right,198
229,Marcus Rashford,Goal,Tim Krul,,right,bottom right corner,left,193
230,Anwar El Ghazi,Goal,Ederson,,right,top left corner,left,188
231,Troy Deeney,Saved,Paulo Gazzaniga,,right,bottom left corner,right,195
232,Raúl Jiménez,Goal,Alex McCarthy,,right,bottom right corner,right,193
233,Teemu Pukki,Goal,Aaron Ramsdale,,right,top centre of the goal,right,191
234,Jamie Vardy,Saved,Nick Pope,,right,bottom right corner,right,198
235,Gabriel Jesus,Saved,Dean Henderson,,right,bottom left corner,right,188
236,Jorginho,Goal,Bernd Leno,,right,bottom right corner,right,190
237,Ayoze Pérez,Goal,Darren Randolph,,right,top left corner,right,187
238,Mark Noble,Goal,Kasper Schmeichel,,right,centre of the goal,right,189
239,Teemu Pukki,Goal,Hugo Lloris,,right,bottom right corner,left,188
240,Mohamed Salah,Goal,Łukasz Fabiański,,left,bottom right corner,right,190
241,İlkay Gündoğan,Saved,Hugo Lloris,,right,bottom right corner,left,188
242,Son Heung-min,Saved,Pepe Reina,,right,bottom left corner,right,188
243,Jay Rodriguez,Goal,Aaron Ramsdale,,right,top right corner,right,191
244,Sergio Agüero,Saved,Kasper Schmeichel,,right,centre of the goal,right,189
245,Bruno Fernandes,Goal,Ben Foster,,right,bottom right corner,left,193
246,Matt Ritchie,Saved,Alex McCarthy,,left,bottom right corner,right,193
247,Dele Alli,Goal,Nick Pope,,right,bottom right corner,right,198
248,Jamie Vardy,Goal,Pepe Reina,,right,centre of the goal,right,188
249,Kevin De Bruyne,Goal,Bernd Leno,,right,bottom right corner,right,190
250,Bruno Fernandes,Goal,Hugo Lloris,,right,bottom left corner,left,188
251,Riyad Mahrez,Goal,Nick Pope,,left,bottom left corner,right,198
252,Neal Maupay,Saved,Kasper Schmeichel,,right,bottom left corner,right,189
253,Willian,Goal,Ederson,,right,top left corner,left,188
254,Gylfi Sigurðsson,Goal,Kasper Schmeichel,,right,centre of the goal,right,189
255,Willian,Goal,Łukasz Fabiański,,right,bottom left corner,right,190
256,Kevin De Bruyne,Goal,Alisson,,right,bottom left corner,right,191
257,Marcus Rashford,Goal,Aaron Ramsdale,,right,bottom right corner,right,191
258,Joshua King,Goal,David de Gea,,right,bottom right corner,right,192
259,Willian,Goal,Ben Foster,,right,top right corner,left,193
260,James Ward-Prowse,Off T,Jordan Pickford,1.0,right,the bar,left,185
261,Bruno Fernandes,Goal,Pepe Reina,,right,bottom left corner,right,188
262,Troy Deeney,Goal,Martin Dúbravka,,right,centre of the goal,right,191
263,Troy Deeney,Goal,Martin Dúbravka,,right,top left corner,right,191
264,Raúl Jiménez,Goal,Jordan Pickford,,right,bottom left corner,left,185
265,Junior Stanislas,Goal,Kasper Schmeichel,,right,top centre of the goal,right,189
266,Chris Wood,Goal,Rui Patrício,,right,top right corner,left,190
267,Danny Ings,Saved,Aaron Ramsdale,,right,bottom right corner,right,191
268,Raheem Sterling,Saved,Ben Foster,,right,bottom left corner,left,193
269,Michail Antonio,Goal,David de Gea,,right,bottom right corner,right,192
270,Danny Ings,Goal,Dean Henderson,,right,bottom right corner,right,188
271,Joshua King,Goal,Jordan Pickford,,right,bottom right corner,left,185
272,Pierre-Emerick Aubameyang,Goal,Ben Foster,,right,bottom left corner,left,193
273,Troy Deeney,Goal,Emiliano Martínez,,right,bottom right corner,right,195
274,Bruno Fernandes,Goal,Kasper Schmeichel,,right,bottom left corner,right,189
275,Mohamed Salah,Goal,Illan Meslier,,left,top centre of the goal,left,196
276,Mohamed Salah,Goal,Illan Meslier,,left,bottom left corner,left,196
277,Jamie Vardy,Goal,Sam Johnstone,,right,bottom left corner,right,193
278,Jamie Vardy,Goal,Sam Johnstone,,right,bottom left corner,right,193
279,Jorginho,Goal,Mathew Ryan,,right,bottom left corner,right,184
280,Mateusz Klich,Goal,Alphonse Areola,,right,centre of the goal,right,195
281,Aleksandar Mitrović,Goal,Illan Meslier,,right,bottom left corner,left,196
282,Wilfried Zaha,Goal,David de Gea,,right,top left corner,right,192
283,Danny Ings,Goal,Hugo Lloris,,right,centre of the goal,left,188
284,Neal Maupay,Goal,Karl Darlow,,right,centre of the goal,right,190
285,Jorginho,Saved,Alisson,,right,bottom right corner,right,191
286,John Lundstram,Saved,Emiliano Martínez,,right,bottom left corner,right,195
287,Kevin De Bruyne,Goal,Rui Patrício,,right,bottom right corner,left,190
288,Neal Maupay,Goal,David de Gea,,right,top centre of the goal,right,192
289,Bruno Fernandes,Goal,Mathew Ryan,,right,top right corner,right,184
290,Richarlison,Goal,Vicente Guaita,,right,top left corner,right,190
291,Callum Wilson,Goal,Hugo Lloris,,right,bottom left corner,left,188
292,Jamie Vardy,Goal,Ederson,,right,top left corner,left,188
293,Jamie Vardy,Goal,Ederson,,right,bottom right corner,left,188
294,Youri Tielemans,Goal,Ederson,,right,bottom right corner,left,188
295,Jorginho,Goal,Vicente Guaita,,right,bottom right corner,right,190
296,Jorginho,Goal,Vicente Guaita,,right,centre of the goal,right,190
297,Callum Wilson,Goal,Nick Pope,,right,top centre of the goal,right,198
298,Bruno Fernandes,Goal,Hugo Lloris,,right,bottom right corner,left,188
299,Harry Kane,Goal,David de Gea,,right,top left corner,right,192
300,Bruno Fernandes,Saved,Karl Darlow,,right,bottom left corner,right,190
301,Billy Sharp,Goal,Alphonse Areola,,right,top right corner,right,195
302,Aleksandar Mitrović,Off T,Aaron Ramsdale,1.0,right,the bar,right,191
303,Wilfried Zaha,Goal,Mathew Ryan,,right,bottom right corner,right,184
304,Sander Berge,Goal,Alisson,,right,bottom right corner,right,191
305,Mohamed Salah,Goal,Łukasz Fabiański,,left,centre of the goal,right,190
306,Ollie Watkins,Goal,Alex McCarthy,,right,top right corner,right,193
307,Callum Wilson,Goal,Robin Olsen,,right,centre of the goal,right,196
308,Pierre-Emerick Aubameyang,Goal,David de Gea,,right,bottom right corner,right,192
309,Harry Kane,Goal,Robert Sánchez,,right,bottom right corner,right,197
310,Youri Tielemans,Goal,Illan Meslier,,right,top left corner,left,196
311,Ademola Lookman,Saved,Łukasz Fabiański,,right,bottom left corner,right,190
312,Jamie Vardy,Goal,Rui Patrício,,right,top right corner,left,190
313,Jamie Vardy,Saved,Rui Patrício,,right,centre of the goal,left,190
314,Kevin De Bruyne,Off T,Alisson,1.0,right,left,right,191
315,Mohamed Salah,Goal,Ederson,,left,bottom left corner,left,188
316,Bruno Fernandes,Goal,Sam Johnstone,,right,top left corner,right,193
317,Ivan Cavaleiro,Saved,Jordan Pickford,,right,left,left,185
318,Neal Maupay,Off T,Alisson,1.0,right,right,right,191
319,Pascal Groß,Goal,Alisson,,right,centre of the goal,right,191
320,Ivan Cavaleiro,Goal,Kasper Schmeichel,,right,top right corner,right,189
321,Ollie Watkins,Off T,Łukasz Fabiański,1.0,right,the bar,right,190
322,Kevin De Bruyne,Goal,Alphonse Areola,,right,bottom right corner,right,195
323,Pascal Groß,Goal,Alex McCarthy,,right,top right corner,right,193
324,Danny Ings,Goal,Mathew Ryan,,right,bottom left corner,right,184
325,Mateusz Klich,Goal,Łukasz Fabiański,,right,bottom right corner,right,190
326,Anwar El Ghazi,Goal,Rui Patrício,,right,bottom right corner,left,190
327,Gylfi Sigurðsson,Goal,Edouard Mendy,,right,centre of the goal,right,196
328,Mohamed Salah,Goal,Alphonse Areola,,left,centre of the goal,right,195
329,Nicolas Pépé,Goal,Jordan Pickford,,left,bottom left corner,left,185
330,Callum Wilson,Goal,Alphonse Areola,,right,centre of the goal,right,195
331,Jamie Vardy,Goal,Hugo Lloris,,right,centre of the goal,left,188
332,Bruno Fernandes,Goal,Illan Meslier,,right,bottom right corner,left,196
333,Anwar El Ghazi,Goal,Sam Johnstone,,right,top centre of the goal,right,193
334,Fábio Silva,Goal,Nick Pope,,right,bottom left corner,right,198
335,Alexandre Lacazette,Goal,Edouard Mendy,,right,centre of the goal,right,196
336,Jorginho,Saved,Bernd Leno,,right,bottom right corner,right,190
337,Patrick Bamford,Goal,Nick Pope,,left,top right corner,right,198
338,Kelechi Iheanacho,Saved,Vicente Guaita,,left,bottom right corner,right,190
339,Bruno Fernandes,Goal,Emiliano Martínez,,right,bottom left corner,right,195
340,Harry Kane,Goal,Illan Meslier,,right,centre of the goal,left,196
341,Neal Maupay,Goal,Rui Patrício,,right,top centre of the goal,left,190
342,Rúben Neves,Goal,Robert Sánchez,,right,bottom right corner,right,197
343,Billy Sharp,Goal,Karl Darlow,,right,bottom left corner,right,190
344,Raheem Sterling,Saved,Robert Sánchez,,right,just a bit too high,right,197
345,Matheus Pereira,Goal,Rui Patrício,,left,bottom left corner,left,190
346,Matheus Pereira,Goal,Rui Patrício,,left,bottom right corner,left,190
347,İlkay Gündoğan,Goal,Emiliano Martínez,,right,centre of the goal,right,195
348,Ashley Barnes,Goal,Alisson,,right,bottom right corner,right,191
349,Rúben Neves,Goal,Rúnar Alex Rúnarsson,,right,top right corner,right,186
350,Bruno Fernandes,Goal,Alex McCarthy,,right,centre of the goal,right,193
351,Jorginho,Goal,Hugo Lloris,,right,bottom left corner,left,188
352,Mohamed Salah,Goal,Ederson,,left,top left corner,left,188
353,İlkay Gündoğan,Off T,Alisson,1.0,right,too high,right,191
354,Jorginho,Goal,Aaron Ramsdale,,right,bottom right corner,right,191
355,Rodri,Goal,Hugo Lloris,,right,top left corner,left,188
356,Rúben Neves,Goal,Alex McCarthy,,right,bottom right corner,right,193
357,Pierre-Emerick Aubameyang,Goal,Illan Meslier,,right,bottom left corner,left,196
358,Declan Rice,Goal,Aaron Ramsdale,,right,bottom left corner,right,191
359,Mason Mount,Goal,Alex McCarthy,,right,bottom right corner,right,193
360,Gylfi Sigurðsson,Goal,Alisson,,right,bottom left corner,right,191
361,Bruno Fernandes,Goal,Karl Darlow,,right,bottom left corner,right,190
362,Danny Welbeck,Off T,Sam Johnstone,1.0,right,left post,right,193
363,Pascal Groß,Off T,Sam Johnstone,1.0,right,the bar,right,193
364,Alexandre Lacazette,Goal,Kasper Schmeichel,,right,bottom left corner,right,189
365,James Ward-Prowse,Goal,Aaron Ramsdale,,right,bottom left corner,right,191
366,Bruno Fernandes,Goal,Ederson,,right,bottom left corner,left,188
367,Jorginho,Goal,Jordan Pickford,,right,bottom left corner,left,185
368,Jesse Lingard,Saved,Illan Meslier,,right,bottom left corner,left,196
369,James Ward-Prowse,Goal,Ederson,,right,centre of the goal,left,188
